1934 milliseconds on cpu:
111193 nanoseconds with blockDim: {128,1,1}, gridDim: {64,1,1}: 
111275 nanoseconds with blockDim: {128,1,1}, gridDim: {128,1,1}: 
126818 nanoseconds with blockDim: {128,1,1}, gridDim: {256,1,1}: 
113553 nanoseconds with blockDim: {128,1,1}, gridDim: {512,1,1}: 
112311 nanoseconds with blockDim: {128,1,1}, gridDim: {1024,1,1}: 
111962 nanoseconds with blockDim: {256,1,1}, gridDim: {1,1,1}: 
111540 nanoseconds with blockDim: {256,1,1}, gridDim: {2,1,1}: 
110090 nanoseconds with blockDim: {256,1,1}, gridDim: {4,1,1}: 
109660 nanoseconds with blockDim: {256,1,1}, gridDim: {8,1,1}: 
111668 nanoseconds with blockDim: {256,1,1}, gridDim: {16,1,1}: 
111271 nanoseconds with blockDim: {256,1,1}, gridDim: {32,1,1}: 
112271 nanoseconds with blockDim: {256,1,1}, gridDim: {64,1,1}: 
111430 nanoseconds with blockDim: {256,1,1}, gridDim: {128,1,1}: 
111937 nanoseconds with blockDim: {256,1,1}, gridDim: {256,1,1}: 
111672 nanoseconds with blockDim: {256,1,1}, gridDim: {512,1,1}: 
111942 nanoseconds with blockDim: {256,1,1}, gridDim: {1024,1,1}: 
111760 nanoseconds with blockDim: {512,1,1}, gridDim: {1,1,1}: 
111539 nanoseconds with blockDim: {512,1,1}, gridDim: {2,1,1}: 
111282 nanoseconds with blockDim: {512,1,1}, gridDim: {4,1,1}: 
112101 nanoseconds with blockDim: {512,1,1}, gridDim: {8,1,1}: 
111156 nanoseconds with blockDim: {512,1,1}, gridDim: {16,1,1}: 
111502 nanoseconds with blockDim: {512,1,1}, gridDim: {32,1,1}: 
111852 nanoseconds with blockDim: {512,1,1}, gridDim: {64,1,1}: 
111832 nanoseconds with blockDim: {512,1,1}, gridDim: {128,1,1}: 
111810 nanoseconds with blockDim: {512,1,1}, gridDim: {256,1,1}: 
111717 nanoseconds with blockDim: {512,1,1}, gridDim: {512,1,1}: 
114480 nanoseconds with blockDim: {512,1,1}, gridDim: {1024,1,1}: 
111465 nanoseconds with blockDim: {1024,1,1}, gridDim: {1,1,1}: 
111595 nanoseconds with blockDim: {1024,1,1}, gridDim: {2,1,1}: 
111530 nanoseconds with blockDim: {1024,1,1}, gridDim: {4,1,1}: 
109859 nanoseconds with blockDim: {1024,1,1}, gridDim: {8,1,1}: 
112084 nanoseconds with blockDim: {1024,1,1}, gridDim: {16,1,1}: 
111404 nanoseconds with blockDim: {1024,1,1}, gridDim: {32,1,1}: 
111248 nanoseconds with blockDim: {1024,1,1}, gridDim: {64,1,1}: 
111558 nanoseconds with blockDim: {1024,1,1}, gridDim: {128,1,1}: 
114094 nanoseconds with blockDim: {1024,1,1}, gridDim: {256,1,1}: 
117581 nanoseconds with blockDim: {1024,1,1}, gridDim: {512,1,1}: 
118988 nanoseconds with blockDim: {1024,1,1}, gridDim: {1024,1,1}: 
