1100 milliseconds with blockDim: {16,1,1}, gridDim: {8,1,1}: 
1100 milliseconds with blockDim: {8,1,1}, gridDim: {16,1,1}: 
1105 milliseconds with blockDim: {32,1,1}, gridDim: {4,1,1}: 
1111 milliseconds with blockDim: {64,1,1}, gridDim: {2,1,1}: 
1112 milliseconds with blockDim: {128,1,1}, gridDim: {1,1,1}: 
2151 milliseconds with blockDim: {2,1,1}, gridDim: {32,1,1}: 
2167 milliseconds with blockDim: {1,1,1}, gridDim: {64,1,1}: 
2167 milliseconds with blockDim: {4,1,1}, gridDim: {16,1,1}: 
2179 milliseconds with blockDim: {8,1,1}, gridDim: {8,1,1}: 
2193 milliseconds with blockDim: {32,1,1}, gridDim: {2,1,1}: 
2200 milliseconds with blockDim: {64,1,1}, gridDim: {1,1,1}: 
2214 milliseconds with blockDim: {16,1,1}, gridDim: {4,1,1}: 
4258 milliseconds with blockDim: {1,1,1}, gridDim: {32,1,1}: 
4294 milliseconds with blockDim: {4,1,1}, gridDim: {8,1,1}: 
4324 milliseconds with blockDim: {2,1,1}, gridDim: {16,1,1}: 
4366 milliseconds with blockDim: {8,1,1}, gridDim: {4,1,1}: 
4436 milliseconds with blockDim: {16,1,1}, gridDim: {2,1,1}: 
4436 milliseconds with blockDim: {32,1,1}, gridDim: {1,1,1}: 
8514 milliseconds with blockDim: {2,1,1}, gridDim: {8,1,1}: 
8685 milliseconds with blockDim: {8,1,1}, gridDim: {2,1,1}: 
8698 milliseconds with blockDim: {4,1,1}, gridDim: {4,1,1}: 
8847 milliseconds with blockDim: {16,1,1}, gridDim: {1,1,1}: 
8901 milliseconds with blockDim: {1,1,1}, gridDim: {16,1,1}: 
10134 milliseconds on cpu:
16857 milliseconds with blockDim: {1,1,1}, gridDim: {8,1,1}: 
17076 milliseconds with blockDim: {2,1,1}, gridDim: {4,1,1}: 
17216 milliseconds with blockDim: {8,1,1}, gridDim: {1,1,1}: 
17247 milliseconds with blockDim: {4,1,1}, gridDim: {2,1,1}: 
26513 milliseconds with blockDim: {1,1,1}, gridDim: {4,1,1}: 
26644 milliseconds with blockDim: {2,1,1}, gridDim: {2,1,1}: 
26793 milliseconds with blockDim: {4,1,1}, gridDim: {1,1,1}: 
45750 milliseconds with blockDim: {1,1,1}, gridDim: {2,1,1}: 
46143 milliseconds with blockDim: {2,1,1}, gridDim: {1,1,1}: 
84420 milliseconds with blockDim: {1,1,1}, gridDim: {1,1,1}: 
