100 milliseconds with dimensions:blockDim: {16,1,1}, gridDim: {16,1,1}: 
100 milliseconds with dimensions:blockDim: {32,1,1}, gridDim: {8,1,1}: 
100 milliseconds with dimensions:blockDim: {64,1,1}, gridDim: {4,1,1}: 
100 milliseconds with dimensions:blockDim: {8,1,1}, gridDim: {32,1,1}: 
101 milliseconds with dimensions:blockDim: {2,1,1}, gridDim: {128,1,1}: 
101 milliseconds with dimensions:blockDim: {4,1,1}, gridDim: {64,1,1}: 
102 milliseconds with dimensions:blockDim: {1,1,1}, gridDim: {512,1,1}: 
102 milliseconds with dimensions:blockDim: {256,1,1}, gridDim: {1,1,1}: 
196 milliseconds with dimensions:blockDim: {1,1,1}, gridDim: {128,1,1}: 
199 milliseconds with dimensions:blockDim: {2,1,1}, gridDim: {64,1,1}: 
200 milliseconds with dimensions:blockDim: {4,1,1}, gridDim: {32,1,1}: 
201 milliseconds with dimensions:blockDim: {16,1,1}, gridDim: {8,1,1}: 
201 milliseconds with dimensions:blockDim: {8,1,1}, gridDim: {16,1,1}: 
203 milliseconds with dimensions:blockDim: {128,1,1}, gridDim: {1,1,1}: 
203 milliseconds with dimensions:blockDim: {32,1,1}, gridDim: {4,1,1}: 
203 milliseconds with dimensions:blockDim: {64,1,1}, gridDim: {2,1,1}: 
391 milliseconds with dimensions:blockDim: {1,1,1}, gridDim: {64,1,1}: 
394 milliseconds with dimensions:blockDim: {4,1,1}, gridDim: {16,1,1}: 
396 milliseconds with dimensions:blockDim: {2,1,1}, gridDim: {32,1,1}: 
399 milliseconds with dimensions:blockDim: {8,1,1}, gridDim: {8,1,1}: 
400 milliseconds with dimensions:blockDim: {32,1,1}, gridDim: {2,1,1}: 
401 milliseconds with dimensions:blockDim: {64,1,1}, gridDim: {1,1,1}: 
403 milliseconds with dimensions:blockDim: {16,1,1}, gridDim: {4,1,1}: 
786 milliseconds with dimensions:blockDim: {1,1,1}, gridDim: {32,1,1}: 
791 milliseconds with dimensions:blockDim: {4,1,1}, gridDim: {8,1,1}: 
795 milliseconds with dimensions:blockDim: {2,1,1}, gridDim: {16,1,1}: 
799 milliseconds with dimensions:blockDim: {8,1,1}, gridDim: {4,1,1}: 
802 milliseconds with dimensions:blockDim: {16,1,1}, gridDim: {2,1,1}: 
802 milliseconds with dimensions:blockDim: {32,1,1}, gridDim: {1,1,1}: 
1572 milliseconds with dimensions:blockDim: {2,1,1}, gridDim: {8,1,1}: 
1586 milliseconds with dimensions:blockDim: {8,1,1}, gridDim: {2,1,1}: 
1588 milliseconds with dimensions:blockDim: {4,1,1}, gridDim: {4,1,1}: 
1602 milliseconds with dimensions:blockDim: {16,1,1}, gridDim: {1,1,1}: 
1631 milliseconds with dimensions:blockDim: {1,1,1}, gridDim: {16,1,1}: 
1892 milliseconds on cpu:
3116 milliseconds with dimensions:blockDim: {1,1,1}, gridDim: {8,1,1}: 
3160 milliseconds with dimensions:blockDim: {8,1,1}, gridDim: {1,1,1}: 
3161 milliseconds with dimensions:blockDim: {2,1,1}, gridDim: {4,1,1}: 
3171 milliseconds with dimensions:blockDim: {4,1,1}, gridDim: {2,1,1}: 
4899 milliseconds with dimensions:blockDim: {1,1,1}, gridDim: {4,1,1}: 
4909 milliseconds with dimensions:blockDim: {2,1,1}, gridDim: {2,1,1}: 
4913 milliseconds with dimensions:blockDim: {4,1,1}, gridDim: {1,1,1}: 
8447 milliseconds with dimensions:blockDim: {1,1,1}, gridDim: {2,1,1}: 
8520 milliseconds with dimensions:blockDim: {2,1,1}, gridDim: {1,1,1}: 
15693 milliseconds with dimensions:blockDim: {1,1,1}, gridDim: {1,1,1}: 
